CountryOfCitizenship,EstWorthPrev,FinalWorth,Gender,Industries,PersonName,Rank,Source
India,1943.318438,1943.318,M,Construction & Engineering,P.V. Krishna Reddy,1535,Infrastructure
Indonesia,1942.934871,1919.046,M,Manufacturing,Hermanto Tanoko,1550,Paints
Hong Kong,1941.987213,1941.987,M,Real Estate,Hui Wing Mau,1536,Real estate
United States,1940.5221,1958.143,M,Technology,Drew Houston,1525,Cloud storage service
Hong Kong,1939.547393,1935.764,M,Energy,Daniel Chiu,1541,Oil & gas
United Kingdom,1939.015062,1939.015,M,Technology,Simon Nixon,1538,Price comparison website
United States,1936.334493,1936.334,M,Construction & Engineering,Riley Bechtel & family,1540,"Engineering, construction"
Brazil,1933.565679,1904.615,M,Fashion & Retail,Ilson Mateus & family,1563,Supermarkets
Australia,1928.728324,1928.728,M,Metals & Mining,Clive Palmer,1542,Mining
Finland,1928.261566,1928.262,M,Energy,Mika Anttonen,1543,Oil & gas
Taiwan,1925.106183,1914.196,M,Finance & Investments,Samuel Chen,1554,Investments
United States,1925.076,1925.076,M,Logistics,Jim Thompson,1545,Logistics 
Australia,1923.328543,1922.762,M,Metals & Mining,John Hancock,1546,Mining
China,1921.757035,1921.757,M,Diversified,Dou Zhenggang,1548,"Energy, chemicals"
China,1921.757035,1921.757,M,Manufacturing,Liang Zhaoxian,1548,Appliances
China,1917.199725,1917.2,M,Energy,Lin Fanlian,1551,"Energy, real estate"
Taiwan,1916.317172,1912.566,M,Food & Beverage,Wei Ing-Chou,1556,"Food, beverages"
United States,1915.925586,1915.596,M,Technology,Evan Williams,1552,Twitter
Taiwan,1913.397678,1908.662,M,Finance & Investments,Thomas Wu,1559,Finance
India,1912.656461,1913.873,M,Manufacturing,Surjit Kumar Gupta,1555,Electrical equipment
Australia,1911.368016,1911.368,F,Metals & Mining,Ginia Rinehart,1557,Mining
United States,1911.18912,1895.298,M,Fashion & Retail,Edward Stack,1573,Dick's Sporting Goods
Oman,1910.096729,1909.474,M,Diversified,Suhail Bahwan,1558,Diversified
Australia,1908.009508,1901.41,M,Fashion & Retail,Brett Blundy,1565,"Retail, agribusiness"
Hong Kong,1907.410459,1897.842,M,Technology,Martin Lau,1570,E-commerce
Poland,1907.122449,1915.065,F,Finance & Investments,Dominika Kulczyk,1553,Diversified
Argentina,1906.651,1906.651,M,Energy,Alejandro Bulgheroni,1560,Oil & gas
China,1906.385863,1810.332,M,Automotive,Xu Xudong & family,1628,Auto parts
United States,1906.254421,1888.187,M,Real Estate,Paul Saville,1580,Homebuilder 
Canada,1906.176313,1922.055,M,Fashion & Retail,Richard Fortin,1547,Convinience stores
United States,1905.645,1905.645,M,Finance & Investments,Larry Robbins,1561,Hedge funds
United States,1904.481028,1903.625,F,Manufacturing,Anita Zucker,1564,Chemicals
United States,1901.50952,1905.021,M,Technology,Tim Cook,1562,Apple
India,1901.050455,1901.05,M,Fashion & Retail,G. Rajendran,1566,Jewellery
China,1900.0,1900.0,M,Real Estate,Wang Chaobin,1567,Real estate
Singapore,1899.218022,1881.529,M,Finance & Investments,Peter Lim,1586,Investments
Australia,1898.522801,1898.523,F,Metals & Mining,Bianca Rinehart,1568,Mining
Australia,1898.522801,1898.523,F,Metals & Mining,Hope Welker,1568,Mining
Taiwan,1898.027607,1894.383,M,Food & Beverage,Wei Yin-Chun,1575,"Food, beverages"
Taiwan,1898.027607,1894.383,M,Food & Beverage,Wei Yin-Heng,1575,"Food, beverages"
Taiwan,1898.027607,1894.383,M,Food & Beverage,Wei Ying-Chiao,1575,"Food, beverages"
Singapore,1896.062425,1895.888,M,Finance & Investments,Oei Hong Leong,1572,Investments
Brazil,1895.881093,1886.24,M,Finance & Investments,Jayme Garfinkel & family,1581,Insurance
India,1895.817424,1962.733,M,Manufacturing,Kailashchandra Nuwal,1521,Industrial explosives
China,1892.555167,1867.496,M,Healthcare,Ye Xiaoping,1593,Pharmaceuticals
China,1890.796362,1881.337,M,Energy,Shen Xiqiang & family,1587,Chemical
Brazil,1890.11848,1894.772,M,Finance & Investments,Alfredo Egydio Arruda Villela Filho,1574,Banking
Thailand,1889.788134,1897.302,M,Finance & Investments,Wichai Thongtang,1571,Investments
United Kingdom,1885.489165,1885.489,M,Fashion & Retail,Robert Miller,1582,Retail
United States,1884.8,1884.8,M,Finance & Investments,James Dinan,1583,Hedge funds
Greece,1883.134887,1859.212,M,Energy,Vardis Vardinoyannis & family,1598,Oil and gas
United States,1882.394179,1882.394,M,Finance & Investments,Henry Swieca,1585,Hedge funds
United States,1881.0,1881.0,M,Food & Beverage,Duke Reyes,1588,Beer distribution
China,1880.599461,1866.696,M,Food & Beverage,Wu Zhigang & family,1594,Bakery chain
United States,1875.0,1875.0,M,Real Estate,David Lichtenstein,1590,Real estate
Italy,1874.635001,1884.221,M,Fashion & Retail,Nicola Bulgari,1584,Luxury goods
India,1873.307721,1871.997,M,Manufacturing,Pavan Jain,1591,Chemicals
Spain,1873.093536,1866.413,M,Construction & Engineering,D. Leopoldo Del Pino,1595,Construction 
Brazil,1871.833227,1876.823,F,Finance & Investments,Ana Lucia de Mattos Barretto Villela,1589,Banking
China,1871.029294,1862.878,M,Technology,Mu Rongjun,1597,E-commerce
United States,1870.0,1870.0,M,Finance & Investments,Scott Kapnick,1592,Private equity
France,1866.172882,1891.254,M,Automotive,Francois Feuillet & family,1578,"Motorhomes, RVs"
Russia,1865.552344,1947.342,M,Finance & Investments,Yuri Kovalchuk & family,1533,"Banking, insurance, media"
Canada,1864.976,1864.976,M,Real Estate,Bill Malhotra,1596,Real estate
India,1862.131224,1977.077,M,Healthcare,Basudeo Singh,1510,Pharmaceuticals
United States,1859.54832,1847.757,F,Food & Beverage,Barbara Tyson,1605,Food processing
Taiwan,1857.927248,1857.927,M,Fashion & Retail,Wang Ren-sheng,1600,Retail
United States,1856.96892,1857.743,M,Technology,Palmer Luckey,1603,Virtual reality
China,1856.072149,1857.8,M,Energy,Kai Wu,1601,Batteries
Malaysia,1852.201807,1857.782,M,Metals & Mining,Kie Chie Wong,1602,Investments
United States,1845.59479,1859.123,M,Fashion & Retail,William Lauder,1599,Estee Lauder
China,1843.932176,1814.919,F,Food & Beverage,Li Haiyan,1622,Restaurants
United States,1843.6671,1831.809,M,Technology,Alan Trefler,1615,Software
China,1843.348113,1845.99,M,Healthcare,Xuande Hua & family,1606,Pharmaceuticals
France,1842.615664,1842.616,M,Food & Beverage,Louis Le Duff,1607,Bakeries
Brazil,1840.331519,1840.332,M,Media & Entertainment,Joao Roberto Marinho,1608,Media
Brazil,1840.331519,1840.332,M,Media & Entertainment,Jose Roberto Marinho,1608,Media
Taiwan,1835.836983,1835.837,M,Manufacturing,Shi Wen-long,1611,Plastics
Turkey,1835.318338,1833.494,M,Diversified,Faruk Eczacibasi,1613,"Pharmaceuticals, diversified"
United States,1835.0187,1848.745,M,Real Estate,B. Wayne Hughes Jr,1604,Storage facilities
China,1832.26405,1833.94,M,Energy,Zhao Fenggang,1612,Batteries
United States,1827.283229,1821.024,M,Finance & Investments,Edward Lampert,1619,Sears
China,1826.973123,1835.844,M,Technology,Hu Yangzhong,1610,Technology
Germany,1824.926808,1824.927,M,Automotive,Fritz Draexlmaier,1617,Auto parts 
Brazil,1823.899353,1823.899,M,Media & Entertainment,Roberto Irineu Marinho,1618,Media
China,1823.890153,1784.307,M,Healthcare,Zhu Yiwen & family,1652,Healthcare
United States,1819.62,1819.62,M,Media & Entertainment,Todd Wagner,1620,Online media
Russia,1819.057935,1819.058,M,Telecom,Vladimir Yevtushenkov,1621,"Telecom, investments"
China,1818.727248,1805.786,M,Healthcare,Weng Xianding,1631,Medical devices
China,1812.112703,1832.468,M,Manufacturing,Chen Zhiping,1614,E-cigarettes
Russia,1811.329802,1811.33,M,Fashion & Retail,Sergey Lomakin,1627,Retail
Switzerland,1810.584735,1814.046,M,Healthcare,Mario Germano Giuliani,1626,Pharmaceuticals
Hong Kong,1810.248075,1796.295,M,Real Estate,Thomas Kwok,1645,Real estate
Australia,1809.0,1809.0,M,Technology,Cameron Adams,1629,Software
Nepal,1807.73488,1807.735,M,Diversified,Binod Chaudhary,1630,Diversified
Canada,1804.0,1804.0,M,Manufacturing,Alan Zekelman,1633,Steel
China,1803.14136,1787.231,M,Technology,Huang Shan,1651,Software
United States,1800.0,1800.0,M,Finance & Investments,Brian Higgins,1635,Hedge funds
United States,1800.0,1800.0,M,Technology,Joe Lau,1635,"Blockchain, technology "
United States,1800.0,1800.0,M,Technology,Nikil Viswanathan,1635,Blockchain technology
United States,1800.0,1800.0,M,Finance & Investments,O. Francis Biondi,1635,Hedge funds
United States,1800.0,1800.0,M,Technology,Parker Conrad,1635,Software
Russia,1799.929924,1799.93,M,Fashion & Retail,Artem Khachatryan,1640,Retail
United States,1797.758,1797.758,M,Food & Beverage,Christopher Goldsbury,1643,Salsa
Germany,1797.200555,1797.201,M,Manufacturing,Martin Viessmann,1644,Heating and cooling equipment
United States,1796.80285,1798.189,F,Technology,Sheryl Sandberg,1642,Facebook
India,1796.43483,1803.898,M,Real Estate,Atul Ruia,1634,Real estate
Cyprus,1792.0,1792.0,M,Technology,Valentin Kipyatkov,1647,Software
United States,1789.774,1805.308,M,Food & Beverage,Travis Boersma,1632,Coffee
China,1787.039579,1791.027,M,Fashion & Retail,Ye Guofu,1648,Retail
Mexico,1784.271761,1783.609,M,Finance & Investments,Roberto Hernandez Ramirez,1653,"Banking, investments"
United States,1782.9,1782.9,M,Healthcare,Gary Michelson,1654,Medical patents
Poland,1780.856191,1727.843,M,Media & Entertainment,Zygmunt Solorz-Zak,1694,TV broadcasting
China,1779.762915,1789.95,M,Technology,Benjamin Zhengmin Pan & family,1650,Electronics
Australia,1779.396275,1814.248,M,Fashion & Retail,Alan Wilson,1623,Retailing
Australia,1779.396275,1814.248,M,Fashion & Retail,Bruce Wilson,1623,Retailing
Australia,1779.396275,1814.248,M,Fashion & Retail,John Wilson,1623,Retailing
United States,1778.686002,1799.196,M,Media & Entertainment,Ben Silbermann,1641,Social media
China,1778.422032,1790.894,M,Logistics,Huijiao Yu,1649,Package delivery
United States,1777.0,1777.0,M,Finance & Investments,Riaz Valani,1656,E-cigarettes 
United States,1776.943786,1775.831,M,Healthcare,Phillip Frost,1657,Pharmaceuticals
Philippines,1775.951705,1769.038,F,Diversified,Elizabeth Sy,1664,Diversified 
Canada,1775.527162,1775.527,M,Media & Entertainment,Pierre Karl Péladeau,1658,Media
United States,1775.0,1775.0,M,Sports,Leslie Alexander,1659,Sports team
Netherlands,1772.0,1772.0,M,Technology,Adriaan Mol,1661,Fintech
Indonesia,1771.527767,1774.203,M,Technology,Otto Toto Sugiri,1660,Data centers
United States,1771.44279,1771.443,M,Sports,James France,1662,"Nascar, racing"
China,1770.441086,1746.9,M,Technology,Xu Zhihan,1676,Electronics
India,1770.332135,1792.874,M,Logistics,G. M. Rao,1646,Infrastructure
Switzerland,1769.71454,1769.715,M,Fashion & Retail,Karl Scheufele III & family,1663,Jewelry
Zimbabwe,1767.374294,1767.32,M,Telecom,Strive Masiyiwa,1667,Telecom
United States,1766.256826,1765.81,M,Finance & Investments,Marc Andreessen,1668,Venture capital investing
South Korea,1764.706469,1739.012,M,Technology,Kwak Dong-shin,1685,semiconductors
South Korea,1762.148198,1767.432,M,Diversified,Koo Kwang-mo,1666,LG
United States,1761.971005,1747.023,M,Healthcare,George Yancopoulos,1675,Pharmaceuticals
India,1760.558,1753.588,M,Manufacturing,Vinod Saraf,1672,Chemicals
Chile,1760.086562,1755.592,M,Diversified,Roberto Angelini Rossi,1670,"Forestry, mining"
Thailand,1759.387243,1739.092,M,Diversified,Phongthep Chiaravanont,1684,Diversified
India,1758.927155,1731.938,M,Technology,S.D. Shibulal,1690,Software services
China,1754.269869,1752.911,M,Manufacturing,Qinxiang Shao,1673,Diversified
India,1750.442831,1768.039,F,Manufacturing,Mrudula Parekh,1665,Adhesives
Monaco,1750.0,1750.0,M,Finance & Investments,Ezra Nahmad,1674,Art
United States,1746.794988,1759.472,F,Fashion & Retail,Aerin Lauder,1669,Estee Lauder
United States,1744.0873,1741.286,M,Technology,Patrick Hanrahan,1680,Software
China,1743.471361,1702.194,M,Technology,Li Min,1714,Semiconductor
United States,1741.0,1741.0,F,Fashion & Retail,Kim Kardashian,1681,"Shapewear, skincare"
Canada,1740.637305,1740.631,M,Technology,Robert G. Miller,1682,Electronics components
China,1738.573163,1732.012,M,Service,Wang Zhenghua,1688,Budget airline
United States,1738.2,1738.2,M,Manufacturing,Don Levin,1686,rolling papers
United States,1737.092115,1729.058,M,Finance & Investments,Ronald Perelman,1693,Leveraged buyouts
United States,1736.86079,1742.881,M,Finance & Investments,Jamie Dimon,1678,Banking
Germany,1733.599162,1744.288,F,Healthcare,Ulrike Baro,1677,Biopharmaceuticals
Thailand,1732.233628,1712.11,M,Diversified,Manas Chiaravanond,1703,Diversified
Netherlands,1732.02372,1732.024,M,Manufacturing,Kommer Damen,1687,Shipbuilding
United States,1731.882,1731.978,M,Technology,Jim Breyer,1689,Venture capital
United States,1730.488,1731.366,M,Technology,David Zalik,1691,Financial technology
India,1729.844479,1755.579,M,Technology,Anand Deshpande,1671,Technology
Brazil,1727.21392,1712.789,M,Finance & Investments,Guilherme Benchimol,1702,financial services
China,1725.983665,1710.968,F,Manufacturing,Yu Lili,1706,Electronic components
China,1725.971,1729.838,F,Fashion & Retail,Yang Yunyun,1692,Retail
Czech Republic,1724.735121,1724.735,M,Finance & Investments,Marek Dospiva,1696,Investments
United States,1723.52157,1720.288,M,Real Estate,John Goff,1699,Real estate
United States,1723.2,1723.2,M,Sports,Tom Werner,1698,Sports teams
India,1721.004321,1685.98,M,Healthcare,Devi Shetty,1729,Healthcare
United States,1720.78458,1723.71,M,Automotive,A. Jayson Adair,1697,Damaged cars
Netherlands,1720.26926,1720.269,M,Real Estate,Lesley Bamberger,1700,Real estate
United States,1719.138755,1740.41,F,Technology,Safra Catz,1683,Software
Thailand,1718.730012,1698.501,M,Diversified,Prathip Chiravanond,1718,Diversified
United States,1712.67038,1710.516,M,Diversified,Jonathan Tisch,1707,"Insurance, NFL team"
South Korea,1711.771158,1707.894,M,Fashion & Retail,Suh Kyung-bae,1711,Cosmetics
Italy,1711.695428,1711.695,M,Metals & Mining,Giovanni Arvedi,1705,Steel
China,1711.445,1702.89,F,Technology,Melissa Ma,1713,Internet search
United States,1710.331,1710.331,M,Healthcare,Osman Kibar,1708,Biotech
Italy,1708.786858,1708.787,M,Finance & Investments,John Elkann,1710,"FIAT, investments"
Netherlands,1704.465221,1704.465,M,Media & Entertainment,John de Mol,1712,TV programs
China,1703.358549,1695.243,M,Technology,Tian Ming,1721,Measuring instruments
China,1701.88376,1742.743,M,Healthcare,Jin Lei & family,1679,Medical equipment
United States,1700.0,1700.0,M,Food & Beverage,Jimmy John Liautaud,1717,Sandwich chain
United States,1698.0,1698.0,M,Finance & Investments,Duncan MacMillan,1719,Bloomberg LP
China,1697.569049,1694.439,M,Manufacturing,Ren Jianhua,1722,Kitchen appliances
Germany,1696.762475,1696.762,M,Finance & Investments,Rolf Gerling,1720,Insurance
India,1695.981083,1618.141,M,Manufacturing,Anurang Jain,1775,Auto parts
Qatar,1694.985971,1659.706,M,Diversified,Faisal Bin Qassim Al Thani,1746,"Hotels, diversified"
China,1694.85925,1700.165,M,Technology,Li Weiwei,1716,Online games
India,1694.757436,1701.651,M,Manufacturing,Inder Jaisinghani,1715,Cables & wires
Spain,1693.244928,1693.289,M,Fashion & Retail,Alberto Palatchi,1724,Wedding dresses
Canada,1692.754634,1693.436,M,Finance & Investments,Jay Hennick,1723,Real estate finance
Sweden,1689.363362,1689.131,F,Diversified,Louise Lindh,1725,Investments
Turkey,1688.518777,1680.282,M,Energy,Saban Cemil Kazanci,1730,Energy
Romania,1688.214552,1688.215,M,Fashion & Retail,Dragos Paval,1726,Retail
Oman,1687.340702,1724.883,M,Real Estate,P.N.C. Menon,1695,Real estate
United States,1687.3,1687.3,M,Real Estate,Jeffrey Soffer,1727,Real estate
United States,1687.041,1687.041,M,Healthcare,James Leininger,1728,Medical products
China,1686.2607,1715.911,M,Manufacturing,Li Xiaohua & family,1701,Packaging
China,1680.0,1680.0,M,Technology,Lu Di,1731,Drones
United States,1678.0,1678.0,M,Energy,Ron Corio,1732,Solar 
Germany,1676.377818,1676.378,F,Food & Beverage,Maike Oberwelland-Height,1733,Candy
United States,1674.0,1674.0,M,Healthcare,Keith Dunleavy & family,1734,Health IT
United States,1673.0,1673.0,M,Real Estate,Jorge Perez,1735,Real estate
United States,1672.0,1672.0,M,Real Estate,Stephen Winn,1736,Real estate services
United States,1671.0,1671.0,M,Food & Beverage,Joe Rogers Jr,1737,Waffle House
United States,1669.525,1669.525,M,Finance & Investments,David Booth,1739,Mutual funds
China,1669.267958,1709.432,M,Manufacturing,Yu Qibing & family,1709,Glass
France,1668.62699,1668.627,M,Logistics,Norbert Dentressangle & family,1740,"Transport, logistics"
Russia,1667.431143,1667.431,M,Food & Beverage,Andrei Krivenko,1741,Retail
Italy,1666.455714,1664.005,F,Fashion & Retail,Sabrina Benetton,1743,"Fashion retail, investments"
Canada,1665.604405,1780.163,M,Finance & Investments,Hal Jackman,1655,"Insurance, investments"
Hong Kong,1664.768565,1670.953,M,Manufacturing,Huang Dawen,1738,Silicon
United Kingdom,1660.248433,1660.143,M,Energy,Ian Wood & family,1744,Energy services
Singapore,1660.098886,1660.099,M,Real Estate,Asok Kumar Hiranandani,1745,Real estate
China,1659.203157,1655.401,M,Manufacturing,Zugen Ni,1748,Appliances
Singapore,1658.746802,1628.286,F,Food & Beverage,Shu Ping,1765,Restaurants
China,1656.663033,1651.171,M,Media & Entertainment,Wang Changtian,1751,"TV, movie production"
Canada,1656.564258,1666.182,M,Finance & Investments,Jack Cockwell,1742,"Real estate, private equity"
Russia,1654.503796,1654.504,M,Finance & Investments,Leonid Simanovsky,1749,Investments
United States,1649.172813,1653.036,M,Food & Beverage,Andres Santo Domingo,1750,Beer
Sweden,1648.654641,1619.583,M,Fashion & Retail,Karl-Johan Persson,1772,H&M
Poland,1646.059276,1641.471,M,Diversified,Zbigniew Juroszek & family,1755,"Real estate, gambling"
Australia,1645.310746,1637.198,M,Fashion & Retail,Gerry Harvey,1756,Retail
Australia,1644.764639,1647.769,F,Manufacturing,Heloise Pratt,1753,"Manufacturing, investment "
Turkey,1643.79982,1641.975,M,Diversified,Bulent Eczacibasi,1754,"Pharmaceuticals, diversified"
United States,1635.431,1636.556,F,Sports,Amy Adams Strunk,1757,Tennessee Titans
United States,1634.0,1634.0,M,Sports,Jim Crane,1759,"Logistics, baseball"
India,1632.934446,1595.887,M,Manufacturing,Rajinder Gupta,1794,"Textiles, paper"
Greece,1632.879241,1619.456,M,Diversified,Spiro Latsis & family,1773,"Banking, shipping"
Germany,1631.584571,1631.585,M,Food & Beverage,Josef Boquoi & family,1762,Frozen foods
United States,1631.1,1631.1,M,Construction & Engineering,Robert Clark,1763,Construction
United Kingdom,1630.516081,1630.516,M,Diversified,Anthony Langley,1764,Manufacturing 
China,1630.367271,1633.417,M,Technology,Hongyi Zhou,1760,Security software
South Korea,1630.195211,1601.366,M,Diversified,Kim Jun-ki,1785,Diversified
Greece,1627.650363,1635.758,F,Diversified,Marianna Latsis & family,1758,"Banking, shipping"
Italy,1627.316064,1620.809,M,Energy,Massimo Moratti,1770,Oil refinery
China,1626.669869,1614.15,M,Manufacturing,Zhu Zhaojiang,1779,Smartphones
United States,1624.0,1624.0,M,Finance & Investments,Clifford Asness,1768,Money management
United Kingdom,1623.696077,1632.656,M,Fashion & Retail,Will Adderley,1761,Home furnishings
China,1620.03254,1602.325,M,Real Estate,Wang Zhenhua,1784,Real estate
Slovakia,1619.831179,1619.831,M,Real Estate,Ivan Chrenko,1771,Real estate
Thailand,1619.748034,1627.467,M,Automotive,Keeree Kanjanapas,1767,Transportation
China,1617.980371,1622.388,F,Technology,Qiu Minxiu,1769,Semiconductors
United States,1616.896935,1614.512,M,Finance & Investments,Mario Gabelli,1778,Money management
Switzerland,1615.8,1615.8,M,Metals & Mining,Gary Fegel,1777,"Commodities, investments"
Netherlands,1615.418858,1890.107,M,Technology,Arnout Schuijff,1579,Payments software
Japan,1615.112133,1616.221,M,Real Estate,Masaaki Arai,1776,home sales
China,1610.676,1608.772,M,Logistics,Lai Jianfa,1781,Express delivery
Russia,1609.770468,1605.624,M,Finance & Investments,Gavril Yushvaev & family,1783,"Precious metals, real estate"
China,1607.77839,1608.221,M,Manufacturing,Chen Kaichen,1782,Household chemicals
Sweden,1607.124356,1587.301,M,Real Estate,David Mindus,1802,Real estate
United States,1605.755285,1610.081,M,Finance & Investments,William Foley II,1780,Financial services
China,1605.406449,1657.798,M,Manufacturing,Zheng Jianjiang & family,1747,Electrical equipment
China,1603.657243,1599.199,M,Food & Beverage,Genhuo Shao,1791,Agribusiness
